Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-04-20 00:00:00-04:00,0.0,3.3513129198772478,3.2154490992645752,3.2607369422912598,7090200,0.0,0.0
1990-04-23 00:00:00-04:00,0.0,3.30602660867732,3.170162713132187,3.2380948066711426,1452263,0.0,0.0
1990-04-24 00:00:00-04:00,0.0,3.2607367424511358,3.1701607704162598,3.1701607704162598,711788,0.0,0.0
1990-04-25 00:00:00-04:00,0.0,3.2607367424511358,3.124872930165122,3.1701607704162598,734738,0.0,0.0
1990-04-26 00:00:00-04:00,0.0,3.2607367424511358,3.124872930165122,3.1701607704162598,467775,0.0,0.0
1990-04-27 00:00:00-04:00,0.0,3.2607369836519497,3.124873161315918,3.124873161315918,548438,0.0,0.0
1990-04-30 00:00:00-04:00,0.0,3.215448902199998,3.124872930165122,3.1701607704162598,55350,0.0,0.0
1990-05-01 00:00:00-04:00,0.0,3.215449140050813,3.124873161315918,3.124873161315918,92475,0.0,0.0
1990-05-02 00:00:00-04:00,0.0,3.2154475588839917,3.124871624688981,3.1475155353546143,415463,0.0,0.0
1990-05-03 00:00:00-04:00,0.0,3.215449140050813,3.124873161315918,3.124873161315918,157613,0.0,0.0
1990-05-04 00:00:00-04:00,0.0,3.2154475588839917,3.124871624688981,3.1475155353546143,167738,0.0,0.0
1990-05-07 00:00:00-04:00,0.0,3.215448902199998,3.1701607704162598,3.1701607704162598,182250,0.0,0.0
1990-05-08 00:00:00-04:00,0.0,3.3513109683990474,3.1701591187123257,3.351310968399048,274725,0.0,0.0
1990-05-09 00:00:00-04:00,0.0,3.3513129198772478,3.2154490992645752,3.2607369422912598,349650,0.0,0.0
1990-05-10 00:00:00-04:00,0.0,3.3965993681194004,3.2154472269002303,3.351310968399048,494438,0.0,0.0
1990-05-11 00:00:00-04:00,0.0,3.7589059484103586,3.3060253940299162,3.668329954147339,653738,0.0,0.0
1990-05-14 00:00:00-04:00,0.0,3.7136169119123776,3.4418892860412598,3.4418892860412598,371925,0.0,0.0
1990-05-15 00:00:00-04:00,0.0,3.6230413223226945,3.487177214429072,3.6003971099853516,221063,0.0,0.0
1990-05-16 00:00:00-04:00,0.0,3.6230421690927814,3.487178029445267,3.532466173171997,280125,0.0,0.0
1990-05-17 00:00:00-04:00,0.0,3.7589054618649387,3.5324656512836543,3.7136173248291016,630450,0.0,0.0
1990-05-18 00:00:00-04:00,0.0,3.7589049339294434,3.6683289641117325,3.7589049339294434,201488,0.0,0.0
1990-05-21 00:00:00-04:00,0.0,3.7589059484103586,3.668329954147339,3.668329954147339,156938,0.0,0.0
1990-05-22 00:00:00-04:00,0.0,3.7589049339294434,3.623041124969174,3.7589049339294434,434700,0.0,0.0
1990-05-23 00:00:00-04:00,0.0,4.030634083751884,3.7136174088602525,3.9400575160980225,799200,0.0,0.0
1990-05-24 00:00:00-04:00,0.0,4.075921460073513,3.9400570615652675,4.007989406585693,303750,0.0,0.0
1990-05-25 00:00:00-04:00,0.0,4.075921930279852,3.9400575160980225,3.9400575160980225,105638,0.0,0.0
1990-05-29 00:00:00-04:00,0.0,4.257076123460509,3.894771412763827,4.166500091552734,720900,0.0,0.0
1990-05-30 00:00:00-04:00,0.0,4.2570732463991945,4.121209144592285,4.121209144592285,223088,0.0,0.0
1990-05-31 00:00:00-04:00,0.0,4.257073449743699,4.121209341447068,4.211785316467285,259200,0.0,0.0
