Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-11-03 00:00:00-05:00,2.0,2.0,1.75,1.75,636,0.0,0.0
2009-11-04 00:00:00-05:00,1.75,1.75,1.75,1.75,20,0.0,0.0
2009-11-05 00:00:00-05:00,1.75,1.75,1.75,1.75,920,0.0,0.0
2009-11-06 00:00:00-05:00,1.75,1.75,1.75,1.75,420,0.0,0.0
2009-11-09 00:00:00-05:00,1.75,1.75,1.75,1.75,288,0.0,0.0
2009-11-10 00:00:00-05:00,1.75,1.75,1.75,1.75,320,0.0,0.0
2009-11-11 00:00:00-05:00,1.75,2.25,1.75,2.25,1636,0.0,0.0
2009-11-12 00:00:00-05:00,2.25,2.25,2.25,2.25,0,0.0,0.0
2009-11-13 00:00:00-05:00,2.25,2.25,2.25,2.25,0,0.0,0.0
2009-11-16 00:00:00-05:00,1.75,1.75,1.75,1.75,40,0.0,0.0
2009-11-17 00:00:00-05:00,1.75,1.75,1.75,1.75,600,0.0,0.0
2009-11-18 00:00:00-05:00,1.75,1.75,1.75,1.75,800,0.0,0.0
2009-11-19 00:00:00-05:00,1.75,1.75,1.75,1.75,3120,0.0,0.0
2009-11-20 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2009-11-23 00:00:00-05:00,1.75,1.75,1.5,1.5,800,0.0,0.0
2009-11-24 00:00:00-05:00,1.75,1.75,1.75,1.75,1264,0.0,0.0
2009-11-25 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2009-11-27 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2009-11-30 00:00:00-05:00,1.75,1.75,1.75,1.75,200,0.0,0.0
2009-12-01 00:00:00-05:00,1.75,1.75,1.5,1.75,980,0.0,0.0
2009-12-02 00:00:00-05:00,1.75,1.75,1.75,1.75,40,0.0,0.0
2009-12-03 00:00:00-05:00,1.75,1.75,1.75,1.75,1200,0.0,0.0
2009-12-04 00:00:00-05:00,1.75,2.5,1.75,2.5,728,0.0,0.0
2009-12-07 00:00:00-05:00,2.5,2.5,2.5,2.5,40,0.0,0.0
2009-12-08 00:00:00-05:00,1.5,1.75,1.5,1.75,3660,0.0,0.0
2009-12-09 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2009-12-10 00:00:00-05:00,2.0,2.0,2.0,2.0,200,0.0,0.0
2009-12-11 00:00:00-05:00,2.0,2.0,2.0,2.0,0,0.0,0.0
2009-12-14 00:00:00-05:00,1.5,1.5,1.5,1.5,20,0.0,0.0
2009-12-15 00:00:00-05:00,1.5,1.5,1.5,1.5,80,0.0,0.0
2009-12-16 00:00:00-05:00,1.5,1.5,1.5,1.5,120,0.0,0.0
2009-12-17 00:00:00-05:00,1.5,1.5,1.5,1.5,1028,0.0,0.0
2009-12-18 00:00:00-05:00,1.5,1.5,1.5,1.5,40,0.0,0.0
2009-12-21 00:00:00-05:00,1.5,1.5,1.5,1.5,576,0.0,0.0
2009-12-22 00:00:00-05:00,1.5,1.5,1.5,1.5,100,0.0,0.0
2009-12-23 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2009-12-24 00:00:00-05:00,1.5,1.5,1.5,1.5,608,0.0,0.0
2009-12-28 00:00:00-05:00,1.5,1.5,1.5,1.5,40,0.0,0.0
2009-12-29 00:00:00-05:00,2.0,2.25,1.75,1.75,1980,0.0,0.0
2009-12-30 00:00:00-05:00,1.5,1.5,1.5,1.5,464,0.0,0.0
2009-12-31 00:00:00-05:00,1.5,1.5,1.5,1.5,400,0.0,0.0
2010-01-04 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-05 00:00:00-05:00,1.5,1.5,1.5,1.5,252,0.0,0.0
2010-01-06 00:00:00-05:00,1.75,1.75,1.5,1.5,848,0.0,0.0
2010-01-07 00:00:00-05:00,1.5,1.5,1.5,1.5,88,0.0,0.0
2010-01-08 00:00:00-05:00,1.5,1.5,1.5,1.5,1804,0.0,0.0
2010-01-11 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-12 00:00:00-05:00,1.5,1.5,1.5,1.5,8,0.0,0.0
2010-01-13 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-14 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-15 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-19 00:00:00-05:00,1.5,1.5,1.5,1.5,596,0.0,0.0
2010-01-20 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-21 00:00:00-05:00,1.75,1.75,1.5,1.5,456,0.0,0.0
2010-01-22 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-01-25 00:00:00-05:00,1.5,1.75,1.5,1.75,600,0.0,0.0
2010-01-26 00:00:00-05:00,1.5,1.5,1.5,1.5,748,0.0,0.0
2010-01-27 00:00:00-05:00,1.25,1.25,1.25,1.25,1692,0.0,0.0
2010-01-28 00:00:00-05:00,1.5,1.5,1.5,1.5,1000,0.0,0.0
2010-01-29 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-02-01 00:00:00-05:00,1.25,1.25,1.25,1.25,120,0.0,0.0
2010-02-02 00:00:00-05:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-02-03 00:00:00-05:00,1.25,1.25,1.25,1.25,1600,0.0,0.0
2010-02-04 00:00:00-05:00,1.25,1.25,1.25,1.25,40,0.0,0.0
2010-02-05 00:00:00-05:00,1.25,1.5,1.25,1.5,1360,0.0,0.0
2010-02-08 00:00:00-05:00,1.5,1.5,1.5,1.5,0,0.0,0.0
2010-02-09 00:00:00-05:00,1.25,1.25,1.25,1.25,200,0.0,0.0
2010-02-10 00:00:00-05:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-02-11 00:00:00-05:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-02-12 00:00:00-05:00,1.0,1.0,1.0,1.0,316,0.0,0.0
2010-02-16 00:00:00-05:00,1.0,1.0,1.0,1.0,40,0.0,0.0
2010-02-17 00:00:00-05:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-02-18 00:00:00-05:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-02-19 00:00:00-05:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-02-22 00:00:00-05:00,1.0,1.25,1.0,1.0,1032,0.0,0.0
2010-02-23 00:00:00-05:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-02-24 00:00:00-05:00,1.25,1.25,1.25,1.25,200,0.0,0.0
2010-02-25 00:00:00-05:00,1.25,1.25,1.25,1.25,20,0.0,0.0
2010-02-26 00:00:00-05:00,1.25,1.25,1.25,1.25,12,0.0,0.0
2010-03-01 00:00:00-05:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-03-02 00:00:00-05:00,1.75,1.75,1.75,1.75,772,0.0,0.0
2010-03-03 00:00:00-05:00,1.75,1.75,1.75,1.75,280,0.0,0.0
2010-03-04 00:00:00-05:00,1.75,1.75,1.75,1.75,0,0.0,0.0
2010-03-05 00:00:00-05:00,1.75,1.75,1.75,1.75,1800,0.0,0.0
2010-03-08 00:00:00-05:00,1.75,1.75,1.75,1.75,440,0.0,0.0
2010-03-09 00:00:00-05:00,1.75,1.75,1.75,1.75,800,0.0,0.0
2010-03-10 00:00:00-05:00,1.75,1.75,1.5,1.5,400,0.0,0.0
2010-03-11 00:00:00-05:00,1.5,1.5,1.5,1.5,448,0.0,0.0
2010-03-12 00:00:00-05:00,1.5,1.5,1.5,1.5,200,0.0,0.0
2010-03-15 00:00:00-04:00,1.25,1.5,1.25,1.5,1520,0.0,0.0
2010-03-16 00:00:00-04:00,1.5,1.5,1.25,1.25,532,0.0,0.0
2010-03-17 00:00:00-04:00,1.5,1.5,1.5,1.5,200,0.0,0.0
2010-03-18 00:00:00-04:00,1.25,1.25,1.25,1.25,400,0.0,0.0
2010-03-19 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-03-22 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-03-23 00:00:00-04:00,1.25,1.5,1.25,1.25,1672,0.0,0.0
2010-03-24 00:00:00-04:00,1.25,1.25,1.25,1.25,2360,0.0,0.0
2010-03-25 00:00:00-04:00,1.25,1.25,1.25,1.25,520,0.0,0.0
2010-03-26 00:00:00-04:00,1.25,1.25,1.0,1.0,1000,0.0,0.0
2010-03-29 00:00:00-04:00,1.0,1.0,1.0,1.0,400,0.0,0.0
2010-03-30 00:00:00-04:00,1.0,1.0,1.0,1.0,40,0.0,0.0
2010-03-31 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-04-01 00:00:00-04:00,1.25,1.25,1.25,1.25,200,0.0,0.0
2010-04-05 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-04-06 00:00:00-04:00,1.0,1.0,1.0,1.0,324,0.0,0.0
2010-04-07 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-04-08 00:00:00-04:00,1.0,1.0,1.0,1.0,400,0.0,0.0
2010-04-09 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-04-12 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-04-13 00:00:00-04:00,1.25,1.25,1.25,1.25,188,0.0,0.0
2010-04-14 00:00:00-04:00,1.25,1.25,1.25,1.25,180,0.0,0.0
2010-04-15 00:00:00-04:00,1.25,1.25,1.25,1.25,1020,0.0,0.0
2010-04-16 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-04-19 00:00:00-04:00,1.25,1.25,1.0,1.0,1048,0.0,0.0
2010-04-20 00:00:00-04:00,1.0,1.0,1.0,1.0,112,0.0,0.0
2010-04-21 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-04-22 00:00:00-04:00,1.25,1.25,1.25,1.25,400,0.0,0.0
2010-04-23 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-04-26 00:00:00-04:00,1.25,1.25,1.25,1.25,200,0.0,0.0
2010-04-27 00:00:00-04:00,1.25,1.25,1.25,1.25,400,0.0,0.0
2010-04-28 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-04-29 00:00:00-04:00,1.25,1.5,1.25,1.5,880,0.0,0.0
2010-04-30 00:00:00-04:00,1.25,1.25,1.25,1.25,28,0.0,0.0
2010-05-03 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-05-04 00:00:00-04:00,1.25,1.25,1.0,1.0,800,0.0,0.0
2010-05-05 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-06 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-07 00:00:00-04:00,1.0,1.0,1.0,1.0,1616,0.0,0.0
2010-05-10 00:00:00-04:00,1.0,1.0,1.0,1.0,308,0.0,0.0
2010-05-11 00:00:00-04:00,1.0,1.0,1.0,1.0,800,0.0,0.0
2010-05-12 00:00:00-04:00,1.0,1.0,1.0,1.0,1240,0.0,0.0
2010-05-13 00:00:00-04:00,1.0,1.0,1.0,1.0,200,0.0,0.0
2010-05-14 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-17 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-18 00:00:00-04:00,1.0,1.0,1.0,1.0,3400,0.0,0.0
2010-05-19 00:00:00-04:00,1.0,1.0,1.0,1.0,520,0.0,0.0
2010-05-20 00:00:00-04:00,1.0,1.0,1.0,1.0,604,0.0,0.0
2010-05-21 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-24 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-05-25 00:00:00-04:00,1.0,1.0,1.0,1.0,1000,0.0,0.0
2010-05-26 00:00:00-04:00,1.0,1.0,1.0,1.0,400,0.0,0.0
2010-05-27 00:00:00-04:00,1.0,1.0,1.0,1.0,600,0.0,0.0
2010-05-28 00:00:00-04:00,1.0,1.0,1.0,1.0,156,0.0,0.0
2010-06-01 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-02 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-03 00:00:00-04:00,1.0,1.0,1.0,1.0,200,0.0,0.0
2010-06-04 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-07 00:00:00-04:00,1.0,1.0,1.0,1.0,600,0.0,0.0
2010-06-08 00:00:00-04:00,1.0,1.0,1.0,1.0,1000,0.0,0.0
2010-06-09 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-10 00:00:00-04:00,1.0,1.0,1.0,1.0,148,0.0,0.0
2010-06-11 00:00:00-04:00,1.0,1.0,1.0,1.0,348,0.0,0.0
2010-06-14 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-15 00:00:00-04:00,1.0,1.0,1.0,1.0,64,0.0,0.0
2010-06-16 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-17 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-18 00:00:00-04:00,1.25,1.25,1.25,1.25,400,0.0,0.0
2010-06-21 00:00:00-04:00,1.25,1.25,1.25,1.25,0,0.0,0.0
2010-06-22 00:00:00-04:00,1.0,1.0,1.0,1.0,600,0.0,0.0
2010-06-23 00:00:00-04:00,1.0,1.0,1.0,1.0,2024,0.0,0.0
2010-06-24 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-25 00:00:00-04:00,1.0,1.0,1.0,1.0,76,0.0,0.0
2010-06-28 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-29 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-06-30 00:00:00-04:00,1.0,1.0,1.0,1.0,616,0.0,0.0
2010-07-01 00:00:00-04:00,1.0,1.0,1.0,1.0,0,0.0,0.0
2010-07-02 00:00:00-04:00,1.0,1.0,1.0,1.0,2604,0.0,0.0
2010-07-06 00:00:00-04:00,1.0,1.0,1.0,1.0,1400,0.0,0.0
2010-07-07 00:00:00-04:00,0.75,0.75,0.75,0.75,600,0.0,0.0
2010-07-08 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-07-09 00:00:00-04:00,1.0,1.0,1.0,1.0,200,0.0,0.0
2010-07-12 00:00:00-04:00,1.0,1.0,0.75,0.75,1200,0.0,0.0
2010-07-13 00:00:00-04:00,0.75,0.75,0.75,0.75,1480,0.0,0.0
2010-07-14 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-07-15 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-07-16 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-07-19 00:00:00-04:00,0.75,0.75,0.75,0.75,800,0.0,0.0
2010-07-20 00:00:00-04:00,0.75,0.75,0.75,0.75,800,0.0,0.0
2010-07-21 00:00:00-04:00,0.75,0.75,0.75,0.75,3404,0.0,0.0
2010-07-22 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-07-23 00:00:00-04:00,0.75,0.75,0.75,0.75,360,0.0,0.0
2010-07-26 00:00:00-04:00,0.75,0.75,0.75,0.75,4,0.0,0.0
2010-07-27 00:00:00-04:00,0.75,0.75,0.75,0.75,180,0.0,0.0
2010-07-28 00:00:00-04:00,0.75,0.75,0.75,0.75,1040,0.0,0.0
2010-07-29 00:00:00-04:00,0.75,1.0,0.75,1.0,2920,0.0,0.0
2010-07-30 00:00:00-04:00,0.75,0.75,0.75,0.75,1080,0.0,0.0
2010-08-02 00:00:00-04:00,0.75,0.75,0.75,0.75,200,0.0,0.0
2010-08-03 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-08-04 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-08-05 00:00:00-04:00,0.75,0.75,0.75,0.75,3296,0.0,0.0
2010-08-06 00:00:00-04:00,0.75,0.75,0.75,0.75,120,0.0,0.0
2010-08-09 00:00:00-04:00,0.75,0.75,0.75,0.75,64,0.0,0.0
2010-08-10 00:00:00-04:00,0.75,0.75,0.75,0.75,2480,0.0,0.0
2010-08-11 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-08-12 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2010-08-13 00:00:00-04:00,0.75,0.75,0.75,0.75,0,0.0,0.0
