Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-02-22 00:00:00-05:00,444.5,444.5,444.5,444.5,0,0.0,0.0
2012-02-23 00:00:00-05:00,455.0,455.0,455.0,455.0,4,0.0,0.0
2012-02-24 00:00:00-05:00,455.0,455.0,444.5,444.5,10,0.0,0.0
2012-02-27 00:00:00-05:00,455.0,490.0,455.0,490.0,16,0.0,0.0
2012-02-28 00:00:00-05:00,490.0,497.0,479.5,497.0,15,0.0,0.0
2012-02-29 00:00:00-05:00,507.5,535.5,507.5,535.5,37,0.0,0.0
2012-03-01 00:00:00-05:00,535.5,612.5,535.5,595.0,50,0.0,0.0
2012-03-02 00:00:00-05:00,602.0,602.0,595.0,602.0,17,0.0,0.0
2012-03-05 00:00:00-05:00,602.0,602.0,542.5,595.0,29,0.0,0.0
2012-03-06 00:00:00-05:00,595.0,605.5,560.0,605.5,110,0.0,0.0
2012-03-07 00:00:00-05:00,605.5,605.5,605.5,605.5,3,0.0,0.0
2012-03-08 00:00:00-05:00,577.5,577.5,542.5,542.5,4,0.0,0.0
2012-03-09 00:00:00-05:00,549.5,602.0,549.5,595.0,9,0.0,0.0
2012-03-12 00:00:00-04:00,595.0,612.5,560.0,602.0,47,0.0,0.0
2012-03-13 00:00:00-04:00,602.0,616.0,563.5,563.5,23,0.0,0.0
2012-03-14 00:00:00-04:00,612.5,612.5,595.0,595.0,4,0.0,0.0
2012-03-15 00:00:00-04:00,595.0,612.5,595.0,595.0,7,0.0,0.0
2012-03-16 00:00:00-04:00,595.0,612.5,588.0,588.0,26,0.0,0.0
2012-03-19 00:00:00-04:00,588.0,588.0,588.0,588.0,1,0.0,0.0
2012-03-20 00:00:00-04:00,595.0,612.5,560.0,584.5,20,0.0,0.0
2012-03-21 00:00:00-04:00,577.5,609.0,577.5,609.0,17,0.0,0.0
2012-03-22 00:00:00-04:00,605.5,612.5,560.0,588.0,31,0.0,0.0
2012-03-23 00:00:00-04:00,619.5,619.5,588.0,588.0,28,0.0,0.0
2012-03-26 00:00:00-04:00,595.0,626.5,595.0,612.5,23,0.0,0.0
2012-03-27 00:00:00-04:00,619.5,630.0,602.0,630.0,15,0.0,0.0
2012-03-28 00:00:00-04:00,630.0,647.5,612.5,612.5,20,0.0,0.0
2012-03-29 00:00:00-04:00,623.0,637.0,602.0,637.0,12,0.0,0.0
2012-03-30 00:00:00-04:00,637.0,647.5,637.0,640.5,23,0.0,0.0
2012-04-02 00:00:00-04:00,612.5,612.5,595.0,595.0,3,0.0,0.0
2012-04-03 00:00:00-04:00,633.5,633.5,577.5,577.5,100,0.0,0.0
2012-04-04 00:00:00-04:00,616.0,651.0,577.5,630.0,41,0.0,0.0
2012-04-05 00:00:00-04:00,654.5,654.5,588.0,588.0,18,0.0,0.0
2012-04-09 00:00:00-04:00,588.0,588.0,542.5,542.5,11,0.0,0.0
2012-04-10 00:00:00-04:00,570.5,570.5,570.5,570.5,1,0.0,0.0
2012-04-11 00:00:00-04:00,546.0,570.5,542.5,570.5,21,0.0,0.0
2012-04-12 00:00:00-04:00,570.5,577.5,514.5,577.5,25,0.0,0.0
2012-04-13 00:00:00-04:00,525.0,574.0,525.0,560.0,22,0.0,0.0
2012-04-16 00:00:00-04:00,574.0,595.0,574.0,595.0,11,0.0,0.0
2012-04-17 00:00:00-04:00,577.5,595.0,542.5,577.5,55,0.0,0.0
2012-04-18 00:00:00-04:00,560.0,577.5,560.0,577.5,25,0.0,0.0
2012-04-19 00:00:00-04:00,577.5,595.0,574.0,591.5,55,0.0,0.0
2012-04-20 00:00:00-04:00,577.5,595.0,577.5,584.5,53,0.0,0.0
2012-04-23 00:00:00-04:00,595.0,595.0,577.5,577.5,51,0.0,0.0
2012-04-24 00:00:00-04:00,595.0,595.0,577.5,584.5,9,0.0,0.0
2012-04-25 00:00:00-04:00,577.5,595.0,577.5,595.0,15,0.0,0.0
2012-04-26 00:00:00-04:00,581.0,584.5,581.0,584.5,34,0.0,0.0
