Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-06-30 00:00:00-04:00,24.236000061035156,24.236000061035156,24.190000534057617,24.190000534057617,700,0.0,0.0,0.0
2022-07-01 00:00:00-04:00,24.030000686645508,24.239999771118164,24.020000457763672,24.174999237060547,1036900,0.0,0.0,0.0
2022-07-05 00:00:00-04:00,23.979999542236328,23.979999542236328,23.639999389648438,23.648000717163086,600,0.0,0.0,0.0
2022-07-06 00:00:00-04:00,23.459999084472656,23.459999084472656,23.229000091552734,23.301000595092773,4000,0.0,0.0,0.0
2022-07-07 00:00:00-04:00,23.420000076293945,23.429000854492188,23.299999237060547,23.299999237060547,91300,0.0,0.0,0.0
2022-07-08 00:00:00-04:00,23.290000915527344,23.450000762939453,23.290000915527344,23.329999923706055,5800,0.0,0.0,0.0
2022-07-11 00:00:00-04:00,23.290000915527344,23.290000915527344,23.190000534057617,23.190000534057617,2000,0.0,0.0,0.0
2022-07-12 00:00:00-04:00,23.170000076293945,23.170000076293945,23.097000122070312,23.097000122070312,4400,0.0,0.0,0.0
2022-07-13 00:00:00-04:00,23.0,23.25,23.0,23.207000732421875,3600,0.0,0.0,0.0
2022-07-14 00:00:00-04:00,22.881999969482422,22.881999969482422,22.881999969482422,22.881999969482422,100,0.0,0.0,0.0
2022-07-15 00:00:00-04:00,22.820999145507812,22.820999145507812,22.820999145507812,22.820999145507812,100,0.0,0.0,0.0
2022-07-18 00:00:00-04:00,23.010000228881836,23.010000228881836,22.850000381469727,22.858999252319336,800,0.0,0.0,0.0
2022-07-19 00:00:00-04:00,22.93000030517578,22.940000534057617,22.916000366210938,22.916000366210938,2400,0.0,0.0,0.0
2022-07-20 00:00:00-04:00,22.780000686645508,22.780000686645508,22.709999084472656,22.709999084472656,800,0.0,0.0,0.0
2022-07-21 00:00:00-04:00,22.82900047302246,23.01099967956543,22.82900047302246,23.01099967956543,200,0.0,0.0,0.0
2022-07-22 00:00:00-04:00,23.200000762939453,23.259000778198242,23.079999923706055,23.079999923706055,600,0.0,0.0,0.0
2022-07-25 00:00:00-04:00,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,100,0.0,0.0,0.0
2022-07-26 00:00:00-04:00,22.979999542236328,23.0,22.979999542236328,23.0,200,0.0,0.0,0.0
2022-07-27 00:00:00-04:00,23.28499984741211,23.28499984741211,23.2189998626709,23.2189998626709,200,0.0,0.0,0.0
2022-07-28 00:00:00-04:00,23.43899917602539,23.500999450683594,23.43899917602539,23.500999450683594,3100,0.0,0.0,0.0
2022-07-29 00:00:00-04:00,23.586999893188477,23.586999893188477,23.586999893188477,23.586999893188477,100,0.0,0.0,0.0
2022-08-01 00:00:00-04:00,23.709999084472656,23.709999084472656,23.709999084472656,23.709999084472656,100,0.0,0.0,0.0
2022-08-02 00:00:00-04:00,23.850000381469727,23.860000610351562,23.582000732421875,23.582000732421875,1200,0.0,0.0,0.0
